area,bedrooms,bathrooms,latitude,longitude,location,price
7770,3,4,18.823500512966255,72.69853269549148,rural,35836984
1360,3,3,18.999290698789185,72.7883971741717,suburban,8222564
5890,4,3,19.090392334780937,72.83781635412264,urban,49824501
5691,3,2,19.297714905904737,72.67753177771775,rural,10659523
6234,4,4,19.13334120935744,73.01066950649329,suburban,34222635
6765,5,1,19.034857765992996,72.8479322858123,urban,59580608
966,3,2,19.036265298201183,72.87979839482021,urban,1000000
4926,5,2,19.124821495291577,72.83113273519243,urban,40214953
6078,3,4,18.856830747602082,73.08561054936618,rural,18517539
8822,3,4,19.159186361043336,72.73819872433735,suburban,46402396
2185,5,2,18.80976254189298,72.68976002317912,rural,16780143
1269,1,4,19.06801499128486,72.85817317540737,urban,9295188
7449,1,4,19.240033829275312,72.71055037267558,rural,18950032
2933,1,3,19.108180905288727,72.84116276527874,urban,21737894
5811,1,4,18.81460402502811,73.0710304594144,rural,27320442
5551,3,3,18.861750728689906,72.7019415030054,rural,16774770
6920,2,2,19.043663451922992,72.88446198212323,urban,55863366
1684,5,2,18.969071352190387,72.96498134511778,suburban,1000000
5055,2,1,18.941612543758826,72.74471804391618,suburban,25146962
3885,2,4,19.294566400729448,73.04227786634301,rural,9855069
6896,4,2,19.064081257945194,72.84673451518036,urban,54251252
9166,1,3,19.174324734322028,73.02027189401672,suburban,43588691
9774,3,2,18.79869517771554,73.09043074124227,rural,21262177
3058,1,4,18.941161769601134,73.02466203411915,suburban,13232764
8349,1,1,19.056353620984208,72.866754598304,urban,70637456
2547,2,1,18.80388044533088,73.02926257951093,rural,6345356
3247,4,2,19.096589981110633,72.86826394504855,urban,17543215
9667,1,1,19.159029562296812,73.0149282888902,suburban,41559100
689,5,4,19.12079862191662,72.85495505326543,urban,9369342
3234,5,4,19.11725126095391,72.90139655547273,urban,21770531
3505,1,1,19.010578525151143,72.98872700283083,suburban,18105241
5158,2,3,19.196837815577087,73.0010567522651,suburban,31913803
2399,2,1,19.008747494587755,72.76487500590525,suburban,14243494
8234,3,1,19.22066500833892,72.99520106926809,suburban,36099835
1767,4,2,19.04470322300058,72.89404600981298,urban,16153653
2028,2,3,19.07366704961596,72.90132976662109,urban,20283084
4056,3,1,18.997921120107435,72.7619082463153,suburban,16951450
4390,5,2,19.080371026336103,72.923479959155,urban,29965911
9338,5,2,18.9631777767709,72.82270063824951,suburban,47887639
5893,5,2,19.010313367035113,72.7558930897303,suburban,38732648
9292,1,4,18.881845896829354,72.70110342718584,rural,21626931
8933,4,2,18.940160031879184,72.74040874858366,suburban,42949522
8013,3,2,19.036362146292497,72.91611651038468,urban,55491752
3112,4,4,18.852947527073738,73.09351436343005,rural,5265760
7541,1,4,18.87124787392112,72.64879918945871,rural,20199095
6735,3,2,19.172643220357298,73.0173648163455,suburban,33138171
